# 1990
IMDb ID	Title	Year	Language(s)
tt0584138	Fraternity Reunion	1990	English
tt0651846	Mr. Bean	1990	English
tt0701215	Some Enchanted Evening	1990	English, French, Albanian
tt0100405	Pretty Woman	1990	English
tt0099077	Awakenings	1990	English
tt0504464	When I'm 64	1990	English
tt0697768	The Robbery	1990	English
tt0099012	Alice	1990	English, Cantonese
tt0642439	You Gotta Know When to Fold Them: Part 2	1990	English
tt0642257	Do Ya Think I'm Sexy	1990	English
tt0100404	Presumed Innocent	1990	English
tt0629362	Out of the Half-Light	1990	English
tt0504409	Hungry Like the Wolf	1990	English
tt0100403	Predator 2	1990	English
tt0100263	La Femme Nikita	1990	French, Italian, English
tt0504400	Future's So Bright, I Gotta Wear Shades	1990	N/A
tt0099423	Die Hard 2	1990	English, Spanish
tt0767438	Bart the Daredevil	1990	English
tt0504453	True Colors	1990	English
tt0642251	Dance Show	1990	English
tt0098936	Twin Peaks	1990–1991	English, Icelandic, Afrikaans, Norwegian
tt0099810	The Hunt for Red October	1990	English, Russian
tt0642431	What Goes Around Came Around	1990	English
tt0099674	The Godfather: Part III	1990	English, Italian, German, Latin
tt0701278	Treehouse of Horror	1990	English
tt0099210	Caluga o menta	1990	N/A
tt0584197	Secret Admirer	1990	English
tt0099739	Hard to Kill	1990	English
tt0734825	Episode #2.11	1990	English
tt0583001	Kiss My Butler	1990	English
tt0099365	Darkman	1990	English
tt0734822	Episode #2.8	1990	English
tt0584212	Terror in Tanner Town	1990	N/A
tt0734814	Episode #2.9	1990	English
tt0136618	Zagadka Endkhauza	1990	Russian
tt0583008	Mistaken Identity	1990	English
tt0100514	The Rookie	1990	English
tt0157829	Invasion: Stanford 1991 A.D.	1990	English
tt0768307	Mr. Sandman	1990	N/A
tt0099797	The Hot Spot	1990	English
tt0734840	Episode #1.2	1990	English, Norwegian
tt0582984	Homeboy, Sweet Homeboy	1990	English
tt0662322	Aurora Borealis: A Fairy Tale for Big People	1990	English
tt0099938	Kindergarten Cop	1990	English, Spanish
tt0100112	The Hairdresser's Husband	1990	French, Arabic
tt0642346	Peggy Turns 300	1990	English
tt0776062	Danny in Charge	1990	English, French
tt0099399	Delta Force 2: The Colombian Connection	1990	English, Spanish
tt0099160	Blue Steel	1989	English
tt0662383	Pilot	1990	English
tt0734823	Episode #2.4	1990	English
tt0099700	Gremlins 2: The New Batch	1990	English
tt0100944	The Witches	1990	English
tt0734824	Episode #2.7	1990	English
tt0099939	King of New York	1990	English
tt0584249	Viva Las Joey	1990	English
tt0681142	Maybe Baby - March 11, 1963	1990	English
tt0701152	Life on the Fast Lane	1990	English
tt0099566	The Field	1990	English
tt0100928	White Hunter Black Heart	1990	English
tt0100114	Marked for Death	1990	English
tt0584240	Three Men and Another Baby	1990	English
tt0098834	The Storyteller: Greek Myths	1990–	English
tt0583047	The Fresh Prince Project	1990	English
tt0676166	The Adventure of the Western Star	1990	English, French
tt0103923	Captain America	1990	English
tt0582962	Def Poet's Society	1990	English
tt0100332	Paris Is Burning	1990	English
tt0100935	Wild at Heart	1990	English, Spanish
tt0099776	Europa Europa	1990	German, Russian, Polish, Hebrew
tt0100758	Teenage Mutant Ninja Turtles	1990	English, French
tt0662339	Dreams, Schemes and Putting Greens	1990	English
tt0099785	Home Alone	1990	English
tt0504396	Consider Me Gone	1990	English
tt0701124	Homer's Odyssey	1990	English
tt0701123	Homer's Night Out	1990	English
tt0629256	Everybody's Favorite Bagman	1990	English
tt0681105	Animal Frat - October 19, 1967	1990	English
tt0734837	Episode #1.5	1990	English
tt0583014	Not with My Pig, You Don't	1990	English
tt0394934	Dead Right	1990	English
tt0734830	Episode #1.7	1990	English
tt0099348	Dances with Wolves	1990	English, Sioux, Pawnee
